Daily candy;www.dailycandy.com;Fashion, beauty, Deals, Travel, City;https://www.dailycandy.com/account/profile.jsp
Deals on Facebook;www.facebook.com;Friends, Deals;
Economy Honda ;www.economyhonda.com;Used cars, Pre-Owned, Inventory, Car;
Endless;www.endless.com;Bags, Accessories, Shipping, Brands;
Exclusivly.In;www.exclusively.in;Saris, Indian, Fashion;
Facebook;www.facebook.com;Friends;
Fidelity Investments;www.fidelity.com;Trading, 401K, Investor;
Fitness Together;http://corp.fitnesstogether.com;Fitness, Together, Personal, Training;
Gap Inc;www.gap,com;Clothing, Women, Men, Locations ;
Gilt Groupe;www.gilt.com;Luxury, Brands, City;
GNC - General Nutrition;www.gnc.com;Vitamins, Supplements;
GolfEtail;www.golfetail.com;Clubs, Drivers, Irons, Woods;
Golfhub;www.golfhub.com;Golf course, tee times, Destinations;
Golfnow;www.golfnow.com;Discount, tee times, courses;
Golfsmith;www.golfsmith.com;Golf superstore, bags, shoes, clubmaking;
Goodreads;www.goodreads.com;Books, reading, friends, Explore;
Groupon;www.groupon.com;Hot deals, Cities, deal of the day;
H&R Block;www.hrblock.com;Tax preparation;
Hang Art ;www.hangart.com;Exhibition, art;
HauteLook;www.hautelook.com;Private, limited-time, join, register;
Heidi Says;www.heidisays.com;Shopping, boutique;SafeUnsubscribe and then give new email? Or Forward email option
Hilton Hotels;www.hilton.com;Hotel rooms, HiltonHHonors, Deals;
Huckberry;www.huckberry.com;Apparel, Gear, Travel, Vintage;http://huckberry.com/account_settings/edit_email_password_name
Ideeli;www.ideeli.com;Exclusive, offers;
Intermix;www.intermixonline.com;Fashion, boutique, sale, dresses;https://www.intermixonline.com/account/accountinfo.do
J Crew;www.jcrew.com;Women, men, shoes, handbags, new arrivals;https://www.jcrew.com/account/account_detail.jsp?FOLDER%3C%3Efolder_id=2534374302024534&bmUID=1317680459999
JackThreads;www.jackthreads.com;Thrillist, online shopping, contemporary;
Jetsetter;www.jetsetter.com;Passport, travel;https://www.jetsetter.com/account/contactinfo
Johnston & Murphy;www.johnstonmurphy.com;Men, store, luggage;
JoS. A. Bank;www.josbank.com;Clothiers, tailored;
Kaplan medical;www.kaptest.com;Medical, test prep;
Kayak;www.kayak.com;Flights, hotels, vacations, tickets;
Kenneth Cole;www.kennethcole.com;Men, Women, Accessories;
Kohl\'s;www.kohls.com;Apparel, kitchen, dining, department stores;
Koolaburra;www.koolaburra.com;Sheepskin, boots, sandals;
Lawyers committee for cultural heritage preservation;www.culturalheritagelaw.org;Preservation, law, heritage, advocacy;
Livingsocial;www.livingsocial.com;Deal, Today, City;
Longchamp;www.longchamp.com;Handbags, leathergoods, luggage, accessories;
Lot18;www.lot18.com;Wines, artisanal;
MAC cosmetics;www.maccosmetics.com;Lipstick, Face, Body, Foundation;
Macys;www.macys.com;Home, Registry, Shoes, Kids, Clothing, Department store;
MapMyRun;www.mapmyrun.com;Run, Map, Jogging, Marathon;
Mariquita farms;www.mariquita.com;Farm, family, community;
Marriott ;www.marriott.com;Hotel, Rooms, Accommodations, Business, Travel;
MTSU Alumni;www.mtalumni.com;MTSU, alumni, homecoming;
MyPoints;www.mypoints.com;Earn, points, shop, rewards, merchants;
mySpoonful;www.myspoonful.com;Independent, music ;
Neiman Marcus;www.neimanmarcus.com;Designer apparel, Shop;
Netfilx;www.netflix.com;TV shows, movies, online, watch, member;
Nissan;www.nissanusa.com;Cars, trucks, SUVs, vehicles;
Nordstrom;www.nordstrom.com;Home, Registry, Shoes, Kids, Clothing, Department store;
Nuance;www.nuance.com;TTS, speak, Realspeak;
OneKingsLane;www.onekingslane.com;Top, home décor, brands, daily;https://www.onekingslane.com/account
Overstock;www.overstock.com;Furniture, Electronics, Jewelry, Clothing;
Pinboard;http://pinboard.in;Pin, Tour, bookmarking;
Piperlime;www.piperlime.com;Shoes, handbags, apparel, jewelry;
Pottery Barn ;www.potterybarn.com;Furniture, Rugs, Windows, Bedding;
Radio Shack;www.radioshack.com;Cell phones, radio, hobby;
REI ;www.rei.com;Outdoor clothing, gear, store;
Restoration Hardware;www.restorationhardware.com;Furniture, lighting, bed linens, hardware;
Rue la la;www.ruelala.com;Invitation, shopping, member;
Rugby Ralph Lauren;www.rugby.com;Country polos, rugby;
Saks Fifth ave;www.saksfifthavenue.com;Handbags, Brands, bridal;
Sephora;www.sephora.com;Beauty, skin care, makeup;
Shopbop;www.shopbop.com;Dresses, handbags, designer;
Shop It To Me;www.shopittome.com;Designer brands, sales;http://www.shopittome.com/profile/profile
SniqueAway;www.sniqueaway.com;Private sale travel;
Southwest Airlines;www.southwest.com;Airlines, book flights, tickes;
Sperry Top-Sider;www.sperrytopsider.com;Shoes, kids, official;
Starwood Preferred;www.starwoodhotels.com;Hotel, explorer;
Stript Wax Bar;www.striptwaxbar.com;Wax, salon, bar;
StubHub;www.stubhub.com;Concert, sports, tickets;
Swirl by Daily Candy;www.swirl.com;Cities, deals, designer;
The Art Newspaper;www.theartnewspaper.com;Jobs, Events, World, Arts;
The Bar Method;www.barmethod.com;Studio, locations, exercise;https://clients.mindbodyonline.com/ASP/home.asp?studioid=1865
Thrilllist;www.thrillist.com;City, new, unknown;
Tiffany & Co.;www.tiffany.com;Jewerly, rings, engagement, earrings;
Tippr;www.tippr.com;Voucher, deals, city;
Travelzoo;www.travelzoo.com;Travel deals, flights, hotels, vacation;
TripAdvisor;www.tripadvisor.com;Hotel, vacation, Deals, Reviews;
Tucson Jazz Society;www.tucsonjazz.org;Non-profit, jazz, organization;
Tumi;www.tumi.com;Luggage, handbags, travel, business;
U2;www.u2.com;Rock, Ireland, Band, Events;
Uber;www.uber.com;Cab, sedans, transportation;
Urban Daddy;www.urbandaddy.com;Nightlife, restaurants, bars;
Vintage Berkeley LLC;www.vintageberkely.com;Events, tastings, dinners, classes;
VRBO ;www.vrbo.com;Vacation properties, rent, owner;
Walgreens ;www.walgreens.com;Photo, pharmacy;
West elm;www.westelm.com;Modern furniture, bedding, rugs, designs;
White House Black Market;www.whitehouseblackmarket.com;Boutique fashion, apparel;
Wild Trails ;www.wildtrails.org;Trails, map, wild;
Wiliams Sonoma;www.williams-sonoma.com;Gourmet, kitchen, cookware, registry;
Wine Enthusiast;www.wineenthusiast.com;Wine, cellars, accessories, gifts;
Wine Express;www.wineexpress.com;Value, online, wine, gift baskets, points;
Wine Spectator;www.winespectator.com;Wine ratings, reviews, tasting notes, Top;
Wine.com;www.wine.com;Buy, wine, gifts, #1;
Yahoo travel;www.travel.yahoo.com;Cheap, flights, hotels, car rentals;
Yelp;www.yelp.com;Reviews, recommendations, top, restaurants, entertainment;
Yoga Pura;www.yogapura.com;Authentic, yoga, live;
Zagat;www.zagat.com;Restaurant guide, reviews, ratings;
Zappos ;www.zappos.com;Shoes, shipping, brands;
Zozi;www.zozi.com;Local, vibrant, events, to-do;
Zulily ;www.zulily.com;Kids, babies, discount, brands, daily, deals
